created_at,entry_id,field1
2025-02-27 19:02:52 UTC,1246,27.96
2025-02-27 19:05:55 UTC,1247,28.04
2025-02-27 19:08:59 UTC,1248,28.04
2025-02-27 19:12:02 UTC,1249,28.12
2025-02-27 19:15:05 UTC,1250,28.04
2025-02-27 19:18:08 UTC,1251,28.12
2025-02-27 19:21:11 UTC,1252,28.2
2025-02-27 19:24:15 UTC,1253,28.12
2025-02-27 19:27:18 UTC,1254,28.36
2025-02-27 19:30:21 UTC,1255,28.28
2025-02-27 19:33:24 UTC,1256,28.36
2025-02-27 19:36:27 UTC,1257,28.2
2025-02-27 19:39:30 UTC,1258,28.36
2025-02-27 19:42:34 UTC,1259,28.45
2025-02-27 19:45:37 UTC,1260,28.45
2025-02-27 19:48:40 UTC,1261,28.45
2025-02-27 19:51:43 UTC,1262,28.61
2025-02-27 19:54:46 UTC,1263,28.53
2025-02-27 19:57:50 UTC,1264,28.45
2025-02-27 20:00:53 UTC,1265,28.77
2025-02-27 20:03:56 UTC,1266,28.69
2025-02-27 20:06:59 UTC,1267,28.53
2025-02-27 20:10:02 UTC,1268,28.45
2025-02-27 20:13:05 UTC,1269,28.53
2025-02-27 20:16:09 UTC,1270,28.61
2025-02-27 20:19:12 UTC,1271,28.36
2025-02-27 20:22:15 UTC,1272,28.69
2025-02-27 20:25:18 UTC,1273,28.53
2025-02-27 20:28:21 UTC,1274,28.69
2025-02-27 20:31:24 UTC,1275,28.53
2025-02-27 20:34:28 UTC,1276,28.69
2025-02-27 20:37:31 UTC,1277,28.53
2025-02-27 20:40:34 UTC,1278,28.61
2025-02-27 20:43:37 UTC,1279,28.69
2025-02-27 20:46:40 UTC,1280,28.77
2025-02-27 20:49:43 UTC,1281,29.41
2025-02-27 20:52:47 UTC,1282,28.61
2025-02-27 20:55:50 UTC,1283,28.61
2025-02-27 20:58:53 UTC,1284,29.25
2025-02-27 21:01:56 UTC,1285,28.77
2025-02-27 21:04:59 UTC,1286,28.53
2025-02-27 21:08:02 UTC,1287,28.77
2025-02-27 21:11:06 UTC,1288,28.85
2025-02-27 21:14:09 UTC,1289,28.69
2025-02-27 21:17:12 UTC,1290,28.85
2025-02-27 21:20:15 UTC,1291,28.77
2025-02-27 21:23:18 UTC,1292,28.77
2025-02-27 21:26:21 UTC,1293,28.69
2025-02-27 21:29:24 UTC,1294,28.77
2025-02-27 21:32:28 UTC,1295,28.77
2025-02-27 21:35:31 UTC,1296,28.69
2025-02-27 21:38:34 UTC,1297,28.93
2025-02-27 21:41:37 UTC,1298,28.69
2025-02-27 21:44:40 UTC,1299,28.69
2025-02-27 21:47:43 UTC,1300,28.69
2025-02-27 21:50:47 UTC,1301,28.85
2025-02-27 21:53:50 UTC,1302,28.85
2025-02-27 21:56:53 UTC,1303,28.69
2025-02-27 21:59:56 UTC,1304,28.85
2025-02-27 22:02:59 UTC,1305,28.85
2025-02-27 22:06:02 UTC,1306,28.85
2025-02-27 22:09:06 UTC,1307,28.77
2025-02-27 22:12:09 UTC,1308,29.01
2025-02-27 22:15:12 UTC,1309,28.85
2025-02-27 22:18:15 UTC,1310,28.85
2025-02-27 22:21:18 UTC,1311,28.85
2025-02-27 22:24:22 UTC,1312,28.77
2025-02-27 22:27:25 UTC,1313,28.77
2025-02-27 22:30:28 UTC,1314,28.61
2025-02-27 22:33:31 UTC,1315,28.85
2025-02-27 22:36:34 UTC,1316,28.77
2025-02-27 22:39:37 UTC,1317,28.77
2025-02-27 22:42:40 UTC,1318,28.77
2025-02-27 22:45:44 UTC,1319,28.85
2025-02-27 22:48:47 UTC,1320,29.01
2025-02-27 22:51:50 UTC,1321,29.01
2025-02-27 22:54:53 UTC,1322,28.85
2025-02-27 22:57:56 UTC,1323,28.77
2025-02-27 23:01:00 UTC,1324,28.85
2025-02-27 23:04:03 UTC,1325,28.93
2025-02-27 23:07:06 UTC,1326,28.85
2025-02-27 23:08:45 UTC,1327,
2025-02-27 23:10:09 UTC,1328,28.77
2025-02-27 23:13:12 UTC,1329,28.77
2025-02-27 23:16:15 UTC,1330,28.85
2025-02-27 23:19:19 UTC,1331,29.09
2025-02-27 23:22:22 UTC,1332,29.82
2025-02-27 23:25:25 UTC,1333,28.77
2025-02-27 23:28:28 UTC,1334,28.69
2025-02-27 23:31:31 UTC,1335,29.01
2025-02-27 23:32:44 UTC,1336,
2025-02-27 23:33:07 UTC,1337,
2025-02-27 23:34:35 UTC,1338,28.93
2025-02-27 23:37:38 UTC,1339,29.01
2025-02-27 23:40:41 UTC,1340,29.49
2025-02-27 23:43:44 UTC,1341,29.01
2025-02-27 23:46:47 UTC,1342,28.93
2025-02-27 23:49:50 UTC,1343,28.85
2025-02-27 23:52:54 UTC,1344,28.93
2025-02-27 23:55:57 UTC,1345,28.93
